campaign_id,total_impressions,total_clicks,total_spend,total_conversions,ctr,cpa
CMP016,801415961,375883156,393677120.00,20410131,0.4690,19.29
CMP049,793540021,375790166,393822976.00,20408613,0.4736,19.30
CMP032,823059437,376277379,395003520.00,20469062,0.4572,19.30
CMP034,778485302,375490759,394029600.00,20403716,0.4823,19.31
CMP040,822591175,376364561,395064384.00,20444877,0.4575,19.32
CMP004,820682696,376906722,395992608.00,20491770,0.4593,19.32
CMP047,819435279,376533784,395185536.00,20447393,0.4595,19.33
CMP045,804940426,376256850,394756288.00,20424317,0.4674,19.33
CMP022,818463847,377109904,395899680.00,20480486,0.4608,19.33
CMP024,780705564,375614418,394482752.00,20406008,0.4811,19.33
