campaign_id,total_impressions,total_clicks,total_spend,total_conversions,ctr,cpa
CMP005,763706418,375627610,394780320.00,20403485,0.4918,19.35
CMP022,818463847,377109904,395899680.00,20480486,0.4608,19.33
CMP023,772606529,375769033,394203584.00,20390213,0.4864,19.33
CMP011,830071737,377330481,396308992.00,20463005,0.4546,19.37
CMP018,823436816,377076026,396003168.00,20477639,0.4579,19.34
CMP026,767858400,375491308,394442592.00,20370126,0.4890,19.36
CMP019,790660761,376096719,395062880.00,20415450,0.4757,19.35
CMP042,833034007,377260350,396576480.00,20507021,0.4529,19.34
CMP004,820682696,376906722,395992608.00,20491770,0.4593,19.32
CMP027,834367573,377233894,396153920.00,20462054,0.4521,19.36
